UUIDFactura,Nombre_Receptor,RFC_Receptor,Nombre_Emisor,RFC_Emisor,Concepto,FechaEmision,Monto,MetodoPago,Vigencia,DivisaFactura
EC4E80FA931443079DA08C115854D077,J**** J****A****,AEB010101**7,C**** S****S****,CSS010101**0,,02/10/2023,5144.06,PUE,31/10/2023,MXN
EBF4F9ABF9CB4B13A5BFA672ACC484EB,D**** M****L****,MAL010101**4,C**** S****S****,CSS010101**0,,31/05/2023,3941.14,PUE,No definido,MXN
EBC772380F284758A5B57D124158ED38,C**** S****S****,CSS010101**0,D**** E****M****,DEM010101**9,,01/02/2023,515.77,PUE,No definido,MXN
EB5FC81F74494DEAB6BE81026C4D5E7A,C**** S****S****,CSS010101**0,B**** A****S****,BAI010101**8,,03/07/2023,0,PUE,No definido,MXN
EB0A0EB1C71543139B6A3CC0A6B788F7,D**** M****L****,MAL010101**4,C**** S****S****,CSS010101**0,,02/10/2023,3947.84,PUE,31/10/2023,MXN
EAD77FBF2E3453E7A5F66A8DF41B123C,C**** S****S****,CSS010101**0,I****,IZA010101**2,,02/11/2023,3306,PUE,30/11/2023,MXN
EABF385D1C4643469BF550E7C81D1DFE,J**** J****A****,AEB010101**7,C**** S****S****,CSS010101**0,,16/06/2023,5144.06,PUE,No definido,MXN
EA1B87F1328A4A5AA7AAEF6D294C9620,C**** S****S****,CSS010101**0,S**** G****A****,SGD010101**1,,14/09/2023,39926.24,PPD,No definido,MXN
E9FAFA5BB3544C958DA699D4892BF5AF,J**** J****A****,AEB010101**7,C**** S****S****,CSS010101**0,,16/03/2023,5144.72,PUE,No definido,MXN
E9883CB44D9F4747B388721881556085,R**** M****T****,MOT010101**1,C**** S****S****,CSS010101**0,,15/07/2023,5427.53,PUE,No definido,MXN
E85CE04673304BAC907ED13DBDDE4EC6,C**** S****S****,CSS010101**0,S**** G****A****,SGD010101**1,,29/06/2023,6177,PUE,No definido,MXN
E849CE299FBD5CF59E328F947672B1DE,S**** B****F****,SBF010101**0,S**** F****E****,SFO010101**2,,12/05/2023,1506.84,PUE,No definido,MXN
E7AAC2B4436841EEB41C701F142858C1,C**** S****S****,CSS010101**0,T**** H****A****,THV010101**6,,31/07/2023,148659.28,PUE,No definido,MXN
E784078122CB4385AB70979333C36315,C**** S****S****,CSS010101**0,H**** A****Y****,HAA010101**1,,13/03/2023,11241.4,PPD,No definido,MXN
E77374CD3EBB438BAF8AE8DDEBB0529C,J**** J****A****,AEB010101**7,C**** S****S****,CSS010101**0,,16/01/2023,5143.37,PUE,No definido,MXN
E759B481FBFC4B508201426186426B19,M**** L****M****,MOR010101**7,C**** S****S****,CSS010101**0,,31/08/2023,3111.6,PUE,No definido,MXN
E731413B3363406BB58604702DBA7C10,C**** S****S****,CSS010101**0,T**** T****S****,TTS010101**9,,30/08/2023,107184,PUE,No definido,MXN
E6DC2327E0D441D1B7E4015D251CB93C,C**** S****S****,CSS010101**0,T**** H****A****,THV010101**6,,14/07/2023,226850.25,PUE,No definido,MXN
E62A39549F7D48DC98A89E7183AAB978,C**** S****S****,CSS010101**0,T**** H****A****,THV010101**6,,15/06/2023,250087.18,PUE,No definido,MXN
E5C449677A7A4014B4A7AEBBD675E1A6,C**** S****S****,CSS010101**0,J**** A****A****,AUV010101**4,,05/05/2023,5224,PUE,No definido,MXN
E4B31BFF600D4344878A6BDC8570B4E6,D**** M****L****,MAL010101**4,C**** S****S****,CSS010101**0,,17/02/2023,3813.32,PUE,No definido,MXN
E21FD0EB745E47CAB4EF513BBFD45401,C**** S****S****,CSS010101**0,H**** D****P****,HDS010101**9,,29/09/2023,62355.8,PUE,No definido,MXN
E1BE27D102284A588144E1CB30CCA3DB,C**** S****S****,CSS010101**0,P****,PAD010101**3,,31/10/2023,2411.65,PPD,No definido,MXN
E138A0977AF44E5A968E8760729BA9D5,C**** S****S****,CSS010101**0,T**** H****A****,THV010101**6,,15/05/2023,36488.01,PUE,No definido,MXN
E0672D8273124BD9A6F6C1478A07C271,C**** S****S****,CSS010101**0,I**** M****D****,IMS010101**5,,22/03/2023,17678.48,PUE,No definido,MXN
DFFA8FBA368C49A2BE8E4402E3653D0D,C**** S****S****,CSS010101**0,S**** G****A****,SGD010101**1,,29/09/2023,39926.24,PUE,No definido,MXN
DF45A1B8D4524B00AE7DC3B7E81C0A0E,C**** S****S****,CSS010101**0,H**** D****P****,HDS010101**9,,29/06/2023,62344.79,PUE,No definido,MXN
DEEC5E7A29B040A68D1F24FD571CA93C,C**** S****S****,CSS010101**0,F**** A****M****,AUM010101**0,,13/10/2023,26020.83,PUE,31/10/2023,MXN
DE19A19B818B4C838207F667BBD00BD9,D**** M****L****,MAL010101**4,C**** S****S****,CSS010101**0,,08/08/2023,3940.53,PUE,No definido,MXN
DD99E986B34541D885DD64383BF70A12,M**** L****M****,MOR010101**7,C**** S****S****,CSS010101**0,,28/02/2023,3111.6,PUE,No definido,MXN
DD5651A384F9409694AFB3FD41FF5E22,C**** S****S****,CSS010101**0,I****,IZA010101**2,,01/04/2023,2201.1,PPD,No definido,MXN
DD475FFEBE3A4707873EE0458083996B,S**** B****F****,SBF010101**0,B**** M****S****,BBA010101**2,,01/03/2023,0,PUE,No definido,MXN
DC781A4BBFBC4B638758BF2D42CBE63B,C**** S****S****,CSS010101**0,C**** I****G****,GUF010101**1,,29/03/2023,4950,PUE,No definido,MXN
DB508606D19148FE8B2ECCD25408FA3A,C**** S****S****,CSS010101**0,G****,GLO010101**1,,13/10/2023,33621.82,PPD,No definido,MXN
D8FB67D96ED749F088918E93475B809C,C**** S****S****,CSS010101**0,C**** G****M****,CGM010101**8,,13/10/2023,36855.08,PUE,No definido,MXN
D73C35F387B94BD498248F89C3073B97,C**** S****S****,CSS010101**0,S**** G****A****,SGD010101**1,,15/05/2023,39934.29,PPD,No definido,MXN
D62ABBD8301B49E2B5409EDD9E887DF6,J**** A****R****,ROZ010101**2,C**** S****S****,CSS010101**0,,17/02/2023,5077.18,PUE,No definido,MXN
D5C461AB5D5443B289F980BF746956BB,C**** S****S****,CSS010101**0,D**** E****M****,DEM010101**9,,07/11/2023,751.55,PUE,30/11/2023,MXN
D577A7CA172B42A494BE932AD87779B5,C**** S****S****,CSS010101**0,S**** G****A****,SGD010101**1,,17/07/2023,1853.1,PUE,No definido,MXN
