idTransaccion,Empresa,Fecha,Hora,Banco,Cuenta,Concepto,Monto,Cargo,Abono,Moneda,MontoPosterior,Referencia,TipoCuenta,ClaveRastreo,TipoMovimiento,BancoEmisor,BancoReceptor,CuentaEmisora,CuentaReceptora,AliasCuenta,NombreEmisor,RFCEmisor,NombreReceptor,RFCReceptor,CEP_Dia,CEP_Mes,CEP_Anio,CEP_Hora,CEP_ClaveRastreo,CEP_Amount,CEP_IVA,CEP_Concepto,CEP_RFCReceptor,CEP_NombreReceptor,CEP_CuentaReceptora,CEP_BancoReceptor,CEP_RFCEmisor,CEP_NombreEmisor,CEP_CuentaEmisora,CEP_BancoEmisor,Categoria
0691bad0953e19a435b4743253035136,Empresa Operativa C,24/08/23,12:46:55,STP,STP ****0000,Universidad I,404026.56,0,404026.56,MXN,0,240823,Cheques,8.59018E+16,Ingreso interbancario,BANAMEX,STP,2.18043E+15,6.4618E+17,,UNIVERSIDAD X I,EXI010101X01,Empresa C,ND,24,8,2023,12:46:58,8.59018E+16,404026.56,0,Universidad I,EME010101X01,Empresa C,6.4618E+17,STP,EXI010101X01,UNIVERSIDAD X I,2.18043E+15,BANAMEX,NA
b86c5e10df1237784978dd5ca64155dc,Empresa A,24/08/23,0:00:00,INBURSA,INBURSA ****0900,Universidad I,469080.11,0,469080.11,MXN,0,240823,Cheques,8.59018E+16,Ingreso interbancario,040002|BANAMEX,INBURSA,2.18043E+15,3.61805E+16,CodeINB,UNIVERSIDAD X I,EXI010101X01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2c42c6e85b864666d9fdebc89410bdcb,Empresa A,23/08/23,0:00:00,INBURSA,INBURSA ****0900,tarjeta credito,50500,50500,0,MXN,0,2023082,Cheques,036INBU23082023126010003,Egreso interbancario,INBURSA,090646|STP,3.61805E+16,6.4642E+17,CodeINB,NA,NA,Empresa A SC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8a82591f2366ed2251c0dfae2fed405f,Empresa A,23/08/23,0:00:00,INBURSA,INBURSA ****0900,NA,3822,3822,0,MXN,0,NA,Cheques,NA,Egreso,INBURSA,040036|INBURSA,3.61805E+16,NA,CodeINB,NA,NA,SECRETARIA DE HACIENDA Y CREDITO PUBLICO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2279399df5b2803539b1597bc46f00db,Empresa A,23/08/23,0:00:00,INBURSA,INBURSA ****0900,G0000032805 G000032865,37568.14,37568.14,0,MXN,0,2023082,Cheques,036INBU23082023126014248,Egreso interbancario,INBURSA,040012|BBVA MEXICO,3.61805E+16,1.218E+16,CodeINB,NA,NA,Empresa X GSis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
b0cfa31c00aa1e6b2b26d54ba6d89041,Empresa A,23/08/23,0:00:00,INBURSA,INBURSA ****0900,DF240515604,1104.9,1104.9,0,MXN,0,9999,Cheques,036INBU23082023126014249,Egreso interbancario,INBURSA,040014|SANTANDER,3.61805E+16,1.45807E+16,CodeINB,NA,NA,Empresa X Iza,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a8b574e2c169694fcc5252e4c7c1f0c7,Empresa A,18/08/23,14:42:34,BANAMEX,BANAMEX ****3404,MOV ENTRE CUENTAS,200000,200000,0,MXN,32138.67,125,Cheques,8.59074E+16,Egreso interbancario,BANAMEX,INBURSA,2.1807E+15,3.61805E+16,CBMX3404,Empresa A SC,NA,"Empresa A S C ""(Dato no verificado por esta institución)""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2a3e519710b9f36b68d492aa57c05614,Empresa A,18/08/23,14:40:30,BANAMEX,BANAMEX ****3404,MOV ENTRE CUENTAS,600000,600000,0,MXN,232138.67,124,Cheques,8.59074E+16,Egreso interbancario,BANAMEX,INBURSA,2.1807E+15,3.61805E+16,CBMX3404,Empresa A SC,NA,"Empresa A S C ""(Dato no verificado por esta institución)""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a1c3b6752471a39085aa4f06adbcbb04,Empresa B,18/08/23,0:00:00,BBVA,BBVA ****4725,CODI RECIBIDO  BANAMEX/0071290887  0027037227,0.01,0,0.01,MXN,0,NA,Cheques,NA,Ingreso,NA,BBVA,NA,34725,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0c65f7f0d39175e9deed865cd89ec40e,Empresa B,18/08/23,0:00:00,BBVA,BBVA ****4725,CODI RECIBIDO  BANAMEX/0071290937  0024187992,0.01,0,0.01,MXN,0,NA,Cheques,NA,Ingreso,NA,BBVA,NA,34725,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01df130db237d4287c4558ff8d11c05f,Empresa B,18/08/23,0:00:00,BBVA,BBVA ****4725,CODI RECIBIDO  BANAMEX/0071290905  0022000648,0.01,0,0.01,MXN,0,NA,Cheques,NA,Ingreso,NA,BBVA,NA,34725,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76d1f432a06ae9b136080db83ad09985,Empresa B,18/08/23,0:00:00,BBVA,BBVA ****4725,CODI RECIBIDO  BANAMEX/0071290915  0024187992,0.01,0,0.01,MXN,0,NA,Cheques,NA,Ingreso,NA,BBVA,NA,34725,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
b032b497a73d7d026b5e421d09ca0a82,Empresa A,18/08/23,0:00:00,INBURSA,INBURSA ****0900,MOV ENTRE CUENTAS,200000,0,200000,MXN,0,125,Cheques,8.59074E+16,Ingreso interbancario,040002|BANAMEX,INBURSA,2.1807E+15,3.61805E+16,CodeINB,Empresa A SC,EMA010101X01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
adfe1fe2d2b9b56ce11776c16d529462,Empresa A,18/08/23,0:00:00,INBURSA,INBURSA ****0900,MOV ENTRE CUENTAS,600000,0,600000,MXN,0,124,Cheques,8.59074E+16,Ingreso interbancario,040002|BANAMEX,INBURSA,2.1807E+15,3.61805E+16,CodeINB,Empresa A SC,EMA010101X01,NA,NA,18,8,2023,14:40:44,8.59074E+16,600000,0,MOV ENTRE CUENTAS,EMA010101X01,Empresa A SC,3.61805E+16,INBURSA,EMA010101X01,Empresa A SC,2.1807E+15,BANAMEX,NA
55757cf2248963c2071a29757f07328a,Empresa Operativa C,17/08/23,12:25:05,STP,STP ****0000,Universidad I,68803.15,0,68803.15,MXN,0,170823,Cheques,8.59016E+16,Ingreso interbancario,BANAMEX,STP,2.18043E+15,6.4618E+17,,UNIVERSIDAD X I,EXI010101X01,Empresa C,ND,17,8,2023,9:41:15,8.59016E+16,68803.15,0,Universidad I,EME010101X01,Empresa C,6.4618E+17,STP,EXI010101X01,UNIVERSIDAD X I,2.18043E+15,BANAMEX,NA
068c146e6c013602217560af2cd62d61,Empresa B,17/08/23,0:00:00,BBVA,BBVA ****4725,CODI RECIBIDO  BANAMEX/0071283399  0027037227,0.01,0,0.01,MXN,0,NA,Cheques,NA,Ingreso,NA,BBVA,NA,34725,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
